im_name,accuracy,psnr,snr
Venus_f_0_28_14.png,95.46,22.66,12.15
Venus_f_0_28_15.png,95.74,22.77,12.26
Venus_f_0_28_16.png,77.93,17.58,7.07
Venus_f_0_28_17.png,12.58,13.11,2.6
Venus_f_0_28_18.png,95.42,22.67,12.16
Venus_f_0_28_2.png,95.42,22.67,12.16
Venus_f_0_28_3.png,95.42,22.67,12.16
Venus_f_0_28_4.png,95.42,22.67,12.16
Venus_f_0_28_5.png,95.42,22.67,12.16
Venus_f_0_28_6.png,95.42,22.67,12.16
Venus_f_0_28_7.png,95.42,22.67,12.16
Venus_f_0_28_8.png,95.43,22.68,12.16
Venus_f_0_28_9.png,95.43,22.68,12.16
Venus_f_0_29_0.png,95.42,22.67,12.16
Venus_f_0_29_1.png,95.42,22.67,12.16
Venus_f_0_29_10.png,95.42,22.67,12.16
Venus_f_0_29_11.png,95.43,22.68,12.16
Venus_f_0_29_12.png,95.42,22.67,12.16
Venus_f_0_29_13.png,95.47,22.67,12.16
Venus_f_0_29_14.png,95.46,22.66,12.15
Venus_f_0_29_15.png,95.74,22.77,12.26
Venus_f_0_29_16.png,77.93,17.58,7.07
Venus_f_0_29_17.png,12.58,13.11,2.6
Venus_f_0_29_18.png,95.42,22.67,12.16
Venus_f_0_29_2.png,95.42,22.67,12.16
Venus_f_0_29_3.png,95.42,22.67,12.16
Venus_f_0_29_4.png,95.42,22.67,12.16
Venus_f_0_29_5.png,95.42,22.67,12.16
Venus_f_0_29_6.png,95.42,22.67,12.16
Venus_f_0_29_7.png,95.42,22.67,12.16
Venus_f_0_29_8.png,95.43,22.68,12.16
Venus_f_0_29_9.png,95.43,22.68,12.16
Venus_f_0_2_0.png,95.42,22.67,12.16
Venus_f_0_2_1.png,95.42,22.67,12.16
Venus_f_0_2_10.png,92.2,20.66,10.15
Venus_f_0_2_11.png,73.42,15.66,5.15
Venus_f_0_2_12.png,94.07,21.66,11.15
Venus_f_0_2_13.png,95.42,22.67,12.16
Venus_f_0_2_14.png,95.41,22.67,12.16
Venus_f_0_2_15.png,95.41,22.67,12.16
Venus_f_0_2_16.png,95.62,22.61,12.1
Venus_f_0_2_17.png,95.42,22.67,12.16
Venus_f_0_2_18.png,95.42,22.67,12.16
Venus_f_0_2_2.png,95.42,22.67,12.16
Venus_f_0_2_3.png,95.42,22.67,12.16
Venus_f_0_2_4.png,95.42,22.67,12.16
Venus_f_0_2_5.png,95.41,22.66,12.15
Venus_f_0_2_6.png,95.4,22.66,12.15
Venus_f_0_2_7.png,95.35,22.62,12.11
Venus_f_0_2_8.png,95.25,22.56,12.05
Venus_f_0_2_9.png,94.65,22.21,11.7
Venus_f_0_30_0.png,95.42,22.67,12.16
Venus_f_0_30_1.png,95.42,22.67,12.16
Venus_f_0_30_10.png,92.12,20.82,10.31
Venus_f_0_30_11.png,71.41,15.8,5.29
Venus_f_0_30_12.png,92.52,20.87,10.36
Venus_f_0_30_13.png,95.42,22.67,12.16
Venus_f_0_30_14.png,95.42,22.67,12.16
Venus_f_0_30_15.png,95.42,22.67,12.16
Venus_f_0_30_16.png,95.42,22.67,12.16
Venus_f_0_30_17.png,95.42,22.67,12.16
Venus_f_0_30_18.png,95.42,22.67,12.16
Venus_f_0_30_2.png,95.42,22.67,12.16
Venus_f_0_30_3.png,95.42,22.67,12.16
Venus_f_0_30_4.png,95.42,22.67,12.16
Venus_f_0_30_5.png,95.41,22.66,12.15
Venus_f_0_30_6.png,95.4,22.66,12.15
Venus_f_0_30_7.png,95.36,22.62,12.11
Venus_f_0_30_8.png,95.27,22.57,12.06
Venus_f_0_30_9.png,94.81,22.29,11.78
Venus_f_0_31_0.png,95.42,22.67,12.16
Venus_f_0_31_1.png,95.42,22.67,12.16
Venus_f_0_31_10.png,95.42,22.67,12.16
Venus_f_0_31_11.png,95.43,22.68,12.16
Venus_f_0_31_12.png,95.42,22.67,12.16
Venus_f_0_31_13.png,95.47,22.67,12.16
Venus_f_0_31_14.png,95.46,22.66,12.15
Venus_f_0_31_15.png,95.74,22.77,12.26
Venus_f_0_31_16.png,77.93,17.58,7.07
Venus_f_0_31_17.png,12.58,13.11,2.6
Venus_f_0_31_18.png,95.42,22.67,12.16
Venus_f_0_31_2.png,95.42,22.67,12.16
Venus_f_0_31_3.png,95.42,22.67,12.16
Venus_f_0_31_4.png,95.42,22.67,12.16
Venus_f_0_31_5.png,95.42,22.67,12.16
Venus_f_0_31_6.png,95.42,22.67,12.16
Venus_f_0_31_7.png,95.42,22.67,12.16
Venus_f_0_31_8.png,95.43,22.68,12.16
Venus_f_0_31_9.png,95.43,22.68,12.16
Venus_f_0_32_0.png,95.42,22.67,12.16
Venus_f_0_32_1.png,95.42,22.67,12.16
Venus_f_0_32_10.png,95.42,22.67,12.16
Venus_f_0_32_11.png,95.43,22.68,12.16
Venus_f_0_32_12.png,95.42,22.67,12.16
Venus_f_0_32_13.png,95.47,22.67,12.16
